Temp (F),Pressure (psia),Density (lbm/ft3)
0.0,278.33,61.73
0.5,280.60,61.66
1.0,282.88,61.58
1.5,285.18,61.51
2.0,287.49,61.44
2.5,289.81,61.36
3.0,292.15,61.29
3.5,294.50,61.22
4.0,296.87,61.14
4.5,299.24,61.07
5.0,301.64,60.99
5.5,304.04,60.92
6.0,306.46,60.84
6.5,308.90,60.77
7.0,311.35,60.69
7.5,313.81,60.62
8.0,316.29,60.54
8.5,318.78,60.46
9.0,321.28,60.39
9.5,323.80,60.31
10.0,326.34,60.24
10.5,328.88,60.16
11.0,331.45,60.08
11.5,334.02,60.00
12.0,336.62,59.93
12.5,339.22,59.85
13.0,341.84,59.77
13.5,344.48,59.69
14.0,347.13,59.62
14.5,349.79,59.54
24.5,406.29,57.91
25.0,409.28,57.83
25.5,412.28,57.75
26.0,415.30,57.66
26.5,418.34,57.58
27.0,421.39,57.49
27.5,424.46,57.41
28.0,427.54,57.32
28.5,430.65,57.24
29.0,433.76,57.15
29.5,436.90,57.06
30.0,440.05,56.98
30.5,443.22,56.89
31.0,446.40,56.80
31.5,449.60,56.71
32.0,452.82,56.63
32.5,456.05,56.54
33.0,459.30,56.45
33.5,462.57,56.36
34.0,465.86,56.27
34.5,469.16,56.18
35.0,472.48,56.09
35.5,475.82,56.00
36.0,479.17,55.91
36.5,482.54,55.82
37.0,485.93,55.73
37.5,489.33,55.64
38.0,492.76,55.54
38.5,496.20,55.45
39.0,499.66,55.36
49.0,572.62,53.41
49.5,576.46,53.30
50.0,580.32,53.20
50.5,584.21,53.10
51.0,588.11,52.99
51.5,592.03,52.89
52.0,595.97,52.78
52.5,599.93,52.67
53.0,603.91,52.57
53.5,607.90,52.46
54.0,611.92,52.35
54.5,615.96,52.24
55.0,620.02,52.13
55.5,624.10,52.03
56.0,628.19,51.91
56.5,632.31,51.80
57.0,636.45,51.69
57.5,640.61,51.58
58.0,644.79,51.46
58.5,648.99,51.35
59.0,653.21,51.24
59.5,657.45,51.12
60.0,661.71,51.00
60.5,665.99,50.89
61.0,670.30,50.77
61.5,674.62,50.65
62.0,678.97,50.53
62.5,683.33,50.41
63.0,687.72,50.29
63.5,692.13,50.16
73.5,785.00,47.47
74.0,789.89,47.32
74.5,794.80,47.17
75.0,799.74,47.01
75.5,804.70,46.86
76.0,809.68,46.70
76.5,814.69,46.54
77.0,819.72,46.38
77.5,824.78,46.22
78.0,829.87,46.05
78.5,834.98,45.88
79.0,840.11,45.71
79.5,845.27,45.54
80.0,850.46,45.36
80.5,855.67,45.18
81.0,860.92,45.00
81.5,866.18,44.81
82.0,871.48,44.62
82.5,876.80,44.43
83.0,882.15,44.23
83.5,887.52,44.03
84.0,892.93,43.83
84.5,898.36,43.62
85.0,903.82,43.40
85.5,909.31,43.18
86.0,914.83,42.96
86.5,920.38,42.73
87.0,925.96,42.49
87.5,931.57,42.24
88.0,937.21,41.90
15.0,352.47,59.46
15.5,355.17,59.38
16.0,357.88,59.30
16.5,360.60,59.22
17.0,363.34,59.14
17.5,366.10,59.06
18.0,368.87,58.98
18.5,371.65,58.90
19.0,374.45,58.82
19.5,377.27,58.74
20.0,380.10,58.66
20.5,382.95,58.58
21.0,385.81,58.49
21.5,388.69,58.41
22.0,391.58,58.33
22.5,394.49,58.25
23.0,397.42,58.16
23.5,400.36,58.08
24.0,403.32,58.00
39.5,503.13,55.26
40.0,506.62,55.17
40.5,510.14,55.08
41.0,513.67,54.98
41.5,517.21,54.89
42.0,520.78,54.79
42.5,524.36,54.69
43.0,527.96,54.60
43.5,531.58,54.50
44.0,535.22,54.40
44.5,538.88,54.31
45.0,542.55,54.21
45.5,546.24,54.11
46.0,549.96,54.01
46.5,553.69,53.91
47.0,557.43,53.81
47.5,561.20,53.71
48.0,564.99,53.61
48.5,568.79,53.51
64.0,696.56,50.04
64.5,701.02,49.92
65.0,705.49,49.79
65.5,709.99,49.66
66.0,714.51,49.54
66.5,719.05,49.41
67.0,723.61,49.28
67.5,728.20,49.15
68.0,732.80,49.01
68.5,737.43,48.88
69.0,742.09,48.74
69.5,746.76,48.61
70.0,751.46,48.47
70.5,756.18,48.33
71.0,760.93,48.19
71.5,765.70,48.05
72.0,770.49,47.91
72.5,775.30,47.76
73.0,780.14,47.62
88.5,942.88,41.73
89.0,948.58,41.46
89.5,954.32,41.18
90.0,960.08,40.89
90.5,965.89,40.58
91.0,971.72,40.26
91.5,977.59,39.93
92.0,983.49,39.58
92.5,989.43,39.20
93.0,995.41,38.80
93.5,1001.40,38.37
94.0,1007.50,37.90
94.5,1013.60,37.38
95.0,1019.70,36.80
95.5,1025.90,36.14
96.0,1032.10,35.34
96.5,1038.40,34.32
97.0,1044.80,32.82